"github issue name",html_url,id,"github issue ID","Fix Version/s","Created timestamp","Updated timestamp","Description","Reporter","Labels",comments,"Assignee"
Multilayered Pointmap Chart with Decimal Theme generates errors during Drag and Drop/Zoom In and Out,https://github.com/mapd/mapd-immerse/issues/4550,327542688,4550,,2018-05-30T01:39:39Z,2018-06-06T00:06:08Z,"### :speech_balloon: Description
Errors spotted in console when dragging and dropping Multilayered Pointmap
### :computer: Environment
- **Chrome, 66.0.3359.181**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Open Dashboard and Create New Pointmap Chart (Add Chart)
- Create chart using DataSource: 'tweets_2017_may'(kali) | Dimension: 'followees' | Measure Lon: AVG 'lon' | Measure Lat: AVG 'lat' | Measure Size: 'COUNT # Records'
- Add Layer with Dimension: 'amount' | Measure Lon: AVG 'lon' | Measure Lat: AVG 'lat'
- Open console,  drag the map around, drop it in new position and observe. 
- **Actual result:**
While dragging the map around or zooming in and out of it, uncaught errors are generated in the console
- **Expected result:**
Using the map should not generate any errors

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![drag-drop point map.gif](https://images.zenhubusercontent.com/5b05a3aa4b5806bc2bd45a14/cd5f202c-f4ec-40d9-b2fd-3dea53869bbc)

### :memo: Other Info
The map does not generate this error message in previous builds. Checked on Demos.",AlexHarutyunyan,"P3,bug,found during 4.0,regression",0,
Add legend to pointmap when density gradient mode is active,https://github.com/mapd/mapd-immerse/issues/4548,327536547,4548,,2018-05-30T00:59:16Z,2018-05-30T00:59:16Z,"### :speech_balloon: Description
Add a legend to BE-rendered pointmap for when accumulation rendering/density gradient mode is active. 
Currently there is no legend and it is unclear to the user what value the colors represent. All they get is the intuition by color alone what is more dense. But by how much? Adding a legend could make that clear.

The values to use for the legend are currently returned as meta-data as part of the render_vega() call to the server. These returned values in the meta-data can be used to drive a legend.

The behavior of the legend can than be similar to other quantitative legends - when locking the colors can stay fixed, when unlocked, the colors would be dynamic.

### :computer: Environment
N/A

### :page_with_curl: Steps To Reproduce
N/A

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",vastcharade,"charts-ux,component-raster,enhancement",0,
[Geo import] Make geo type detection and / or disabling of column type selectors more granular in Importer,https://github.com/mapd/mapd-immerse/issues/4539,326573888,4539,,2018-05-25T15:41:02Z,2018-05-25T15:41:18Z,"### :speech_balloon: Description

Shapefiles are mostly predictable but geojsons and csv's with lat/lon columns can both have arbitrary column types that should be able to be overridden by the user - and csv's with lat/lon columns should be toggle-able back and forth between geo and non, currently this would be one-way.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,"geospatial,import",0,
"[Geo import] Indicate geo columns with a map pin icon, wherever they can be selected (chart columns, table importer)",https://github.com/mapd/mapd-immerse/issues/4538,326565525,4538,,2018-05-25T15:18:01Z,2018-05-29T16:32:16Z,"### :speech_balloon: Description

Indicate geo columns with a map pin icon for a visual indicator of geo features being active on them.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

![image](https://user-images.githubusercontent.com/2074135/40552300-e2559c32-6004-11e8-8c27-aff49f53aee4.png)


### :memo: Other Info",jrajav,"geospatial,import",3,
Unable to reach resolution for 'Failed To Load Dashboard' error popup ,https://github.com/mapd/mapd-immerse/issues/4536,326353983,4536,,2018-05-25T01:51:42Z,2018-05-30T17:56:54Z,"### :speech_balloon: Description
'Failed To Load Dashboard' popup displays some errors in the console  
### :computer: Environment
- **Safari, 11.1**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Create New Dashboard and Edit Title
- Add Chart to Dashboard ( Type: Bar | Data Source: 'flights' | Dimension: 'airtime' | Measure Width: # Records)
- Save Dashboard
- Copy Dashboard Url, open a new tab in browser and paste the url in the new tab (2 tabs with the same dashboard)
- Navigate back to Dashboards and delete the newly created Dashboard
- Open up the second tab that still contains the Dashboard prior to deletion and refresh the page
- **Actual result:**
'Failed To Load Dashboard' error popup appears, but the 'No' and 'Report' buttons fail to navigate away from page. 
- **Expected result:**
'No' button returns the user back to the list of Dashboards. 
'Report' button navigates to the error report page. 

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

![Deleted Dashboard.gif](https://images.zenhubusercontent.com/5b05a3aa4b5806bc2bd45a14/bcb9bd83-4d8c-4c6f-902b-ba86570ca7ea)

![Screen Shot 2018-05-24 at 12.43.41 PM.png](https://images.zenhubusercontent.com/5b05a3aa4b5806bc2bd45a14/0804709a-d2f8-4d98-9356-198f76834838)
### :memo: Other Info
In this scenario an error report may not be appropriate since the Dashboard no longer exists. ",AlexHarutyunyan,"P4,bug,found during 4.0",0,
Stacked Bar: auto rotate x axis labels,https://github.com/mapd/mapd-immerse/pull/4533,326337026,4533,,2018-05-24T23:58:50Z,2018-05-31T19:24:48Z,"### 💬  Description
New `mapd3` feature to allow `config.labelsAreRotated` to have an ""auto"" option.
 
### 📄 Github Issue
Closes #4416 

### :camera_flash: Screenshot",clhenrick,,12,AlexHarutyunyan
Turning off binning on geo table hangs immerse.,https://github.com/mapd/mapd-immerse/issues/4524,325894246,4524,,2018-05-23T22:19:58Z,2018-05-30T17:57:19Z,"### :speech_balloon: Description
Turning off binning on geo table hangs immerse.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- Go to Kali
- Create histogram (nyc_buildings) has to be geo table
- heightroof vs #Records
- Turn off binning on heightroof.

- **Actual result:**
Immerse hangs
- **Expected result:**
Should render correctly.

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",menaczar,"P2,bug,found during 4.0",0,alexbaden
Stacked Bar: Fix Aggregate Measures,https://github.com/mapd/mapd-immerse/pull/4523,325890220,4523,,2018-05-23T22:05:19Z,2018-05-30T17:54:40Z,"### 💬  Description
Only construct the SQL subquery for topN when a 2nd dimension is enabled by the user, handle a custom measure.

### 📄 Github Issue
Closes #4518 
Closes #4520 

### :camera_flash: Screenshot",clhenrick,,23,AlexHarutyunyan
[stacked bar] doesn't seem to work with custom measures,https://github.com/mapd/mapd-immerse/issues/4520,325804908,4520,[object Object],2018-05-23T17:34:01Z,2018-06-05T19:18:07Z,"### :speech_balloon: Description
Maybe I'm doing it wrong, but all the custom measures I try fail. It's normal for categorical measures as there's an issue with it anyway, but numerical should work.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
- set-up a stacked bar chart as in the screenshot
- **Actual result:** fails with error `Exception: Exception occurred: org.apache.calcite.runtime.CalciteContextException: From line 6, column 10 to line 6, column 34: No match found for function signature Custom(<NUMERIC>)`
- **Expected result:** should work the same as when using the measure directly

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
<img width=""1674"" alt=""screen shot 2018-05-23 at 1 29 58 pm"" src=""https://user-images.githubusercontent.com/824534/40440968-8f0b2114-5e8d-11e8-9587-ecc281e5a096.png"">

### :memo: Other Info",biovisualize,"P1,bug,found during 4.0,stacked-bar-chart",4,clhenrick
[stacked bar] Inconsistent measure aggregations,https://github.com/mapd/mapd-immerse/issues/4518,325749817,4518,[object Object],2018-05-23T15:06:47Z,2018-05-31T15:05:46Z,"### :speech_balloon: Description
I would expect to see bars or at maybe a value of 0 when using min, avg and other aggregations that currently just doesn't show any bars. Maybe we are filtering out zeroes as if they were nulls. There are some values on `max`, so the values are definitely not just nulls.

A separate issue in the same area is `stddev` aggregation gives an error: `Exception: Aggregate function STDDEV not supported`

`# unique` also gives an error: `Exception: Parse failed: Lexical error at line 1, column 292.  Encountered: ""#"" (35), after : """"`

These 2 errors could be extracted into separate tasks.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: 
https://github.com/mapd/mapd-immerse/pull/4511
chrish/stacked-bar-4435

### :page_with_curl: Steps To Reproduce
- set-up a stacked bar chart with for example flights, dest_city, carrier_name, arrdelay
- try all aggregation types for arrdelay
- **Actual result:** all aggregation should give a meaningful results
- **Expected result:** some errors-out, some gives empty bars, some seem ok (like max)

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
<img width=""1191"" alt=""screen shot 2018-05-23 at 10 56 51 am"" src=""https://user-images.githubusercontent.com/824534/40433080-27e47b70-5e79-11e8-9d12-052f9a34be78.png"">
<img width=""1680"" alt=""screen shot 2018-05-23 at 10 56 29 am"" src=""https://user-images.githubusercontent.com/824534/40433081-27fbcafa-5e79-11e8-88b4-4432e585c8c1.png"">
<img width=""1680"" alt=""screen shot 2018-05-23 at 10 56 21 am"" src=""https://user-images.githubusercontent.com/824534/40433082-280dbd46-5e79-11e8-906c-58ec4c689b5a.png"">
<img width=""1672"" alt=""screen shot 2018-05-23 at 10 56 06 am"" src=""https://user-images.githubusercontent.com/824534/40433084-28217c8c-5e79-11e8-8be7-e2a674faeb34.png"">
<img width=""1679"" alt=""screen shot 2018-05-23 at 10 55 58 am"" src=""https://user-images.githubusercontent.com/824534/40433085-2833d4f4-5e79-11e8-953d-ec5fda01a1a4.png"">
<img width=""1678"" alt=""screen shot 2018-05-23 at 10 55 35 am"" src=""https://user-images.githubusercontent.com/824534/40433086-28541890-5e79-11e8-98a2-b89a1db22e00.png"">


### :memo: Other Info",biovisualize,"P1,bug,found during 4.0,stacked-bar-chart",2,clhenrick
Ideas for new chart editor panel,https://github.com/mapd/mapd-immerse/issues/4517,325515542,4517,,2018-05-23T01:17:57Z,2018-05-24T17:25:57Z,"### :speech_balloon: 

Conceptual for future discussions.  - The following mockup is only to start discussions of what improvements we might make in the future to the chart editor panels. Please don't take anything in these screens as planned work. 

![2 y axis copy](https://user-images.githubusercontent.com/37127288/40398352-6ba40138-5dec-11e8-930f-8a5fb16ecfb9.png)


Some of the ideas in this design:

1. Combining the most if not all of the right panel content into a more contextual left panel.
2. (not really depicted here), identifying Dashboard versus individual chart data source(s). Basically allowing the user to set a dashboard source file as the default that is used in most of the charts so the user doesn't have to keeps looking for and selecting the same data set.
3. (also not really depicted here very well) show dashboard applied filters.
4. Have chart type selector. An idea here is that we could potentially do progressive disclosure of what objects need or can be included based on the type of chart the user selects. Example if the user select the number chart we could hide the dimension selector. *Note that we currently do a decent job of telling the user the differences with a tool tip. If we turned this information into logic we could guide the user through chart set up and chart changes.
5. Under Dimension use a date range as a default. Basically any chart that is based on trend or time/date comparison.  Also identifying not only the date range but also the date aggregate that we would display by default. (currently presented as Bins). This selector would be mirrored in the chart presentation area as well. 
6. For measures we  would continue to provide calculation type in addition to formatting, chart selection (when it makes sense to do so) chart color selector, and if additional filtering was applied.
7. In use cases like combo charts we could have the additional set for the second Y axis.
8. In the chart the color would be indicated with the Y labels. 
9. The y Labels would also display the calculation type.

Please do poke holes and provide ideas. Treat this issue as an open forum for UX ideas and improvements.





",Christian-Baptiste,,3,Christian-Baptiste
[Geo import] Add support for dual lon / lat column type to table importer,https://github.com/mapd/mapd-immerse/issues/4515,325478891,4515,,2018-05-22T22:00:10Z,2018-05-22T23:52:41Z,"### :speech_balloon: Description

Allow choosing a lon / lat or a lat / lon column type in the preview of the table importer, which will consume the following column as well creating a dual longitude / latitude or latitude / longitude Point-type geo column.

The header for the columns should somehow indicate they are paired together (one way might be to indicate Latitude and Longitude as lighter, grey sub headers and have the main header only on the left column).

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,"geospatial,import",3,clhenrick
[Design spike] Consolidate chart types,https://github.com/mapd/mapd-immerse/issues/4513,325335064,4513,,2018-05-22T15:01:18Z,2018-05-22T15:03:25Z,"### :speech_balloon: Description
We have multiple chart types that are in fact variants of the same base type. The most obvious is row chart, histogram, stacked bar, combo chart (with simple and grouped bars). We also are in an intermediate stage where the line chart is not yet removed from the UI, even though it is fully replicated by the combo chart (task #4050). Another example is scatterplot and bubble chart. They have different implementations, but from the user standpoint, they could be treated as variants.

One way of consolidating the chart types, from a conceptual standpoint without thinking of implementation constraints, could be to have 3 base charts: geo, categorical and continuous

**Geo**
It's clear how all of our maps are of the geo type. Small detail: from implementation standpoint, the scatterplot is backend-rendered and some of its feature visually show that it is somewhat related. 

**Categorical**
The row chart, pie chart and stacked bar charts have categorical data on their primary axis.

**Continuous**
Scatterplot/bubble, combo, histogram, have a continuous primary axis, which can be time, numerical or a binning of those (which could still be considered a discretization of a continuous space rather than an ordinal dimension).

### Acceptance criteria
Documenting alternatives (in text, wireframes or mockups) to the current presentation of our chart types in a way that can lead to discussions and decisions.",biovisualize,design,1,Christian-Baptiste
Encrypt passwords over network calls.,https://github.com/mapd/mapd-immerse/issues/4507,324204520,4507,,2018-05-17T22:12:47Z,2018-05-17T22:13:48Z,"### :speech_balloon: Description
Encrypt passwords over network calls.

Passwords are sent as plain text over network. Might be security concern for some users.

### :camera_flash: Screenshots
<img width=""645"" alt=""screen shot 2018-05-17 at 3 13 14 pm"" src=""https://user-images.githubusercontent.com/16374964/40206414-db89316e-59e4-11e8-95e3-310f088f7be5.png"">

### :memo: Other Info",menaczar,enhancement,1,
"Combo line chart and date time interval overlap - Safari, Edge, Explorer",https://github.com/mapd/mapd-immerse/issues/4501,323451557,4501,,2018-05-16T02:55:53Z,2018-05-31T03:22:53Z,"### :speech_balloon: Description
Currently when user creates a line graph in combo charts there would be an overlap between line chart and date time interval. 

### :computer: Environment
- **Browser Name, Version**:  Safari, Edge, Explorer
- **mapd-immerse Version or Branch**: minos

### :page_with_curl: Steps To Reproduce
- Create a Combo chart with the following:
Dimension - X-axis: `arr_timestamp (auto-binning)`
Measure: `record`

- **Actual result:**
Line graph overlaps with date time interval (right hand corner)

- **Expected result:**
no overlap

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots
![screen shot 2018-05-15 at 7 55 38 pm](https://user-images.githubusercontent.com/35040876/40094115-f7691938-5879-11e8-8ace-c897e8e22dc2.png)


### :memo: Other Info
Issue is not present in the demos. ",ericli5454,"P3,bug,found during 4.0,regression",2,
Unable to grant create dashboard to role,https://github.com/mapd/mapd-immerse/issues/4497,323022544,4497,,2018-05-15T00:06:53Z,2018-05-15T16:31:15Z,"### :speech_balloon: Description
Currently we are unable to grant create dashboard privileges to a role. After granting create dashboard to role and logging to a user who has been assigned to role, create dashboard button does not appear.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
In sql editor
- Assign user to role  - grant `role` to `user`
- Grant create dashboard on database `db`  to `role`
Login as user
- **Actual result:**
New Dashboard button does not appear

- **Expected result:**
New Dashboard button appears in dashboard list page

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",ericli5454,"dashboard-sharing,design",2,
Mapd3 + Crossfilter design spike and example,https://github.com/mapd/mapd-immerse/issues/4496,323008119,4496,,2018-05-14T22:47:59Z,2018-05-29T23:59:28Z,"### :speech_balloon: Description
Carlson Capital would like to have a combo chart but still using Crossfilter instead of mapd-data-layer, so they can just plug it in their current setup. The best would probably be to wrap the mapd3 combo chart in mapd-charting, a bit like we are currently doing for the cross-filtering side of combo chart. 

Questions from MikeG, *answers by @biovisualize*:
1. Can we do combo chart with mapd-charting, or do we need mapd3? *No*
2. If mapd3, can we tie it into crossfilter? *It should be possible. We need to try it*
3. Can you somehow do joins in crossfilter? *I don't know Crossfilter enough to answer*

cc @MarcBalaban 
",biovisualize,,5,
Tiny Immerse demo,https://github.com/mapd/mapd-immerse/issues/4495,323006819,4495,,2018-05-14T22:41:50Z,2018-05-14T22:43:12Z,Make a tiny Immerse from scratch as testbed for pure react / redux patterns on top of mapd3 and mapd-connector. Will also support work in #4494 ,jrajav,"demo,tech",0,jrajav
Openlayers / MapD demo,https://github.com/mapd/mapd-immerse/issues/4494,323006568,4494,[object Object],2018-05-14T22:40:26Z,2018-06-05T20:16:25Z,,jrajav,"demo,tech",0,uyanga-gb
Dashboard Management,https://github.com/mapd/mapd-immerse/issues/4492,322981833,4492,,2018-05-14T21:07:17Z,2018-05-14T21:07:18Z,"### :speech_balloon: Description

Not slated for any release yet:

As user create more and more dashboards, tools to manage their dashboards will become necessary. This Issue will start to describe some of the initial thoughts and ideas around this topic. Eventually this issue might evolve into an Epic.

Ideas:
(BTW) many of these ideas could also work on the Data Manger Screen and a future chart/report manager screen.

- Sorting
- Filtering
- Searching
- Saved Views (combination of sort, filter and display settings)
- Pre filters (things like: Recents, Favorites, Shared with me, Shared by me, etc.)


- Different presentation styles, cards displayed with some type of grid system, current data grid/table. 
- Thumbnail images of the reports 


Advanced features:
- Auto Perge
- Reassign Dashboard to someone else
- Tagging system
- Foldering system 


### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**


### :memo: Other Info",Christian-Baptiste,"Design System,charts-ux,design",0,Christian-Baptiste
Re-use dashboard state when saving a new dashboard for the first time,https://github.com/mapd/mapd-immerse/issues/4483,322116745,4483,,2018-05-10T23:10:24Z,2018-05-11T18:10:46Z,"### :speech_balloon: Description

Currently, the dashboard is reloaded and re-initialized when saved and given an ID for the first time.

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,dashboard-sharing,0,
Design spike on line chart null values,https://github.com/mapd/mapd-immerse/issues/4480,322061260,4480,,2018-05-10T19:52:16Z,2018-06-08T00:42:30Z,"### :speech_balloon: Description
A feature request from a client, https://github.com/mapd/mapd-immerse/issues/4270, started a discussion about the various ways to represent the null values (dropping to 0, gap, dots, etc.). This task is for documenting the ideas around that and generate any artifact that can help us make a decision on the best way to handle the various needs.

### Acceptance criteria
* Document the needs an ideas that doesn't already exist in the related issue https://github.com/mapd/mapd-immerse/issues/4270
* generate some mockups or any document to help with decision",biovisualize,design,4,Christian-Baptiste
"Selecting ""Duplicate"" pops a modal that allows the user to keep the appended (copy) as the name or the ability to rename the dashboard to something new",https://github.com/mapd/mapd-immerse/issues/4479,322046010,4479,,2018-05-10T19:04:35Z,2018-05-14T18:35:50Z,"### :speech_balloon: Description

MVP - when a user chooses to duplicate a dashboard (assuming they have permission to do) the duplicate shows up the in the dashboard list as ""originalName(copy)"". If the user is not satisfied with the ""(Copy)"" appended as the new name they can then select the dashboard and rename it.

This MVP flow can be seen starting with slide 30 from [The DM-Permission-Sharing ISG First Drop Prototype](https://invis.io/MPIGRA7BGXF). 

- The enhancement for this workflow would be as follows:

1 - A user selects a dashboard and chooses to duplicate it

2 - Rather than placing the new duplicate in the list view with ""OriginalName(Copy)"", instead we would launch a ""Duplicate"" modal that shows the name field with the ""OriginalName(Copy)"" pre-populated and highlighted. 

3 - the user has two choices. Choice A is to simply select the done button (or enter keystroke) and keep the ""OriginalName(Copy)"" name or Choice B, they rename the dashboard to a new more meaningful name then click done.

To see the enhanced flow: Look for the easter egg targets on Slide [31](https://invis.io/MPIGRA7BGXF).  just below the grid on the right side. 

- **_In short the enhanced modal is basically duplicate and rename in a single modal._**

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,dashboard-sharing,0,
changing chart color causes backend choropleth crash,https://github.com/mapd/mapd-immerse/issues/4695,331343540,4695,,2018-06-11T20:46:06Z,2018-06-11T21:16:54Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,"bug,release blocker",1,alexbaden
show popup for color measure when using a dimension w/ backend choropleth,https://github.com/mapd/mapd-immerse/issues/4694,331343439,4694,,2018-06-11T20:45:46Z,2018-06-11T20:45:46Z,"### :speech_balloon: Description


### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",alexbaden,bug,0,alexbaden
Refactor backend choropleth color scales,https://github.com/mapd/mapd-immerse/pull/4693,331331610,4693,,2018-06-11T20:08:44Z,2018-06-11T21:05:45Z,"Supports solid and quantize scales
Removes text types from quantize scale, temporarily does not support ordinal scale (backend limitation https://github.com/mapd/mapd-core-internal/issues/1621)
Drop # Records from backend choropleth color measure without a dimension (was causing a crash previously)
Display aggregate selector in color measure when a dimension is present (#4678)
Properly handles std dev aggregate (#4641)

### 💬  Description
 
### 📄 Github Issue
Closes #0

### :camera_flash: Screenshot",alexbaden,,4,
Investigate inconsistencies in column type labels,https://github.com/mapd/mapd-immerse/issues/4692,331290636,4692,,2018-06-11T18:00:58Z,2018-06-11T18:03:40Z,"### :speech_balloon: Description

e.g.  ""STR [dict. encoded]"" and not ""TEXT ENCODING DICT(32)"" in table preview (latter is the strict DDL syntax), and different labels again in the chart column selectors

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,,1,
Change GEOINT to COMPRESSED in Table Importer geo options,https://github.com/mapd/mapd-immerse/issues/4691,331284186,4691,,2018-06-11T17:41:41Z,2018-06-11T17:41:58Z,"### :speech_balloon: Description

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

### :memo: Other Info",jrajav,"geospatial,import",0,jrajav
remove dead table selection code from table-picker-parent,https://github.com/mapd/mapd-immerse/pull/4690,331257542,4690,,2018-06-11T16:19:12Z,2018-06-11T18:26:37Z,"### 💬  Description
 Removes unused code in `table-picker-parent` that's no longer used to select a table for preview
### 📄 Github Issue
Closes #4600

### :camera_flash: Screenshot

### Testing Notes
Table previews should continue to work as expected, with users being able to select table from the list and see it's columns",jmenestr,,2,AlexHarutyunyan
Imported geo columns do not show column name in selectors,https://github.com/mapd/mapd-immerse/issues/4689,331208921,4689,,2018-06-11T14:18:01Z,2018-06-11T16:02:44Z,"### :speech_balloon: Description

Unsure if this is meant to be supported yet or not, but mapd_geo columns that have a name upon import do not retain that column name in the data source (or at least, the chart selectors).

### :computer: Environment
- **Browser Name, Version**: 
- **mapd-immerse Version or Branch**: master

### :page_with_curl: Steps To Reproduce
-
- **Actual result:**
- **Expected result:**

### :dash: Smoke Test
- [ ] is feature working / bug resolved in chrome
- [ ] is feature working / bug resolved in safari
- [ ] is feature working / bug resolved in firefox
- [ ] is feature working / bug resolved in ie 11
- [ ] is feature working / bug resolved in ie edge

### :camera_flash: Screenshots

<img width=""1528"" alt=""mapd_geo field names 1"" src=""https://user-images.githubusercontent.com/2074135/41237063-3d675196-6d58-11e8-8726-5511cf87f0b2.png"">
<img width=""1528"" alt=""mapd_geo field names 2"" src=""https://user-images.githubusercontent.com/2074135/41237067-3f854596-6d58-11e8-9681-3e12c9d7306b.png"">

### :memo: Other Info

Dataset in screens above is trips.csv:

`COPY trips_geo FROM ‘/freenas-home/home/annette/inrix/trips’ with (lonlat=‘false’);`",jrajav,"Needs PM Review,geospatial,import",1,
